Date,Ens01,Ens02,Ens03,Ens04,Ens05,Ens06,Ens07,Ens08,Ens09,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Exc10,Exc50,Exc90,Pav10,Pav50,Pav90,Avg
2024-02-16,7.142,7.390,7.073,7.829,6.968,7.177,6.775,7.241,6.812,7.537,7.006,6.984,7.115,7.052,6.980,7.109,7.298,7.066,6.844,7.013,7.160,7.018,7.242,6.903,7.058,6.970,7.148,7.110,6.946,6.981,7.182,7.146,7.184,6.918,6.945,7.254,7.219,7.138,6.847,7.149,7.063,7.063,7.253,7.069,6.905,54.355,52.981,51.748,13.343
2024-03-16,13.952,10.074,12.309,12.855,18.678,10.792,10.484,24.490,9.073,8.764,35.645,9.600,16.911,10.689,23.481,11.755,42.681,15.188,11.867,19.187,10.538,8.929,14.072,10.211,12.694,19.605,15.058,11.372,13.957,10.273,16.677,10.756,32.468,15.968,13.904,14.079,13.715,25.887,17.551,23.047,11.585,9.828,24.389,13.809,9.852,115.580,65.443,46.690,21.102
2024-04-16,31.364,28.336,32.866,42.266,16.564,17.376,42.374,35.670,39.307,31.966,52.465,44.199,26.429,34.279,30.964,33.607,44.487,40.567,27.067,22.650,16.135,34.764,34.633,37.495,33.554,31.958,28.877,46.448,27.915,15.605,33.136,25.900,38.152,39.533,33.623,34.051,28.998,43.423,54.405,63.339,44.206,42.568,44.459,33.837,22.975,116.741,88.848,60.327,38.084
2024-05-16,60.290,56.764,63.812,84.492,70.654,54.653,40.483,37.973,38.624,27.096,55.677,30.541,67.287,36.784,52.343,52.166,145.963,83.849,33.424,53.308,72.471,43.879,62.954,42.901,70.850,26.902,92.365,87.832,32.656,25.719,77.190,46.389,59.058,50.743,36.676,47.824,39.664,51.500,63.162,83.186,49.142,59.932,83.782,52.825,32.733,120.107,75.729,46.925,69.756
2024-06-16,34.093,34.600,35.067,53.311,78.445,39.678,24.492,21.528,18.978,17.426,40.419,22.569,57.990,16.865,35.034,23.983,108.076,55.446,32.794,64.811,45.247,22.082,17.287,44.829,64.382,12.561,50.736,53.757,17.274,18.303,29.130,69.608,71.182,23.384,17.014,15.830,21.728,29.535,43.140,36.705,37.882,31.899,64.768,34.347,17.275,114.789,60.873,30.617,56.424
2024-07-16,13.385,21.674,10.231,25.299,20.255,14.725,8.658,10.252,9.377,7.920,10.973,12.548,28.304,9.046,15.743,11.048,73.875,25.120,13.423,29.448,16.742,8.799,10.683,9.492,14.421,5.901,21.526,15.017,5.616,6.840,11.538,17.807,36.401,9.728,6.932,11.102,15.226,10.840,13.691,12.266,15.108,10.173,25.281,12.407,7.994,107.521,52.770,33.998,23.512
2024-07-31,139.132,141.374,141.975,205.368,185.918,126.432,116.008,105.422,106.286,84.408,159.534,109.858,180.010,96.975,134.084,120.803,372.401,204.982,106.708,170.216,150.596,109.524,125.557,134.717,183.207,77.322,193.504,203.053,83.461,66.467,150.994,159.705,204.793,123.387,94.245,108.807,105.616,135.298,174.398,195.496,146.338,144.572,202.297,137.215,94.518,107.733,73.074,50.336,187.776
