Date,Ens01,Ens02,Ens03,Ens04,Ens05,Ens06,Ens07,Ens08,Ens09,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Exc10,Pav10,Exc50,Pav50,Exc90,Pav90,Avg
2024-04-16,292.703,292.703,292.703,292.703,292.703,292.703,292.703,292.703,292.703,292.703,292.703,292.703,292.703,292.703,292.703,292.703,292.703,292.703,292.703,292.703,292.703,292.703,292.703,292.703,292.703,292.703,292.703,292.703,292.703,292.703,292.703,292.703,292.703,292.703,292.703,292.703,292.703,292.703,292.703,292.703,292.703,292.703,292.703,84.918,292.703,84.918,292.703,84.918,344.690
2024-05-16,568.004,559.023,922.330,568.163,564.506,566.855,564.143,563.362,569.620,576.591,558.716,1041.544,581.581,569.714,581.951,574.739,563.252,1159.002,574.755,951.038,564.905,574.805,579.676,574.154,566.506,569.055,999.373,579.835,565.787,572.343,570.089,564.190,808.873,565.445,569.937,568.834,775.368,575.256,562.791,582.273,987.345,1005.315,991.916,346.391,571.216,199.477,563.320,196.719,286.357
2024-06-16,175.747,188.162,193.009,183.621,184.159,187.014,186.211,184.635,186.958,191.396,187.663,251.661,195.993,179.560,259.408,189.999,192.095,203.384,188.153,288.278,184.816,186.146,177.619,186.517,181.540,187.262,194.253,183.490,181.298,187.560,185.794,199.954,237.170,184.865,187.101,179.075,198.583,190.102,187.975,189.491,226.700,193.588,230.678,113.568,187.612,92.365,180.638,88.932,203.119
2024-07-16,141.005,154.845,153.040,153.044,148.017,151.816,149.171,141.006,149.091,153.341,151.954,170.045,153.901,148.016,161.740,150.519,154.339,160.700,150.141,178.521,148.555,148.018,141.032,148.011,141.008,150.822,154.256,148.005,148.000,150.016,149.970,153.561,170.025,149.778,150.543,141.006,152.175,151.649,148.568,151.588,154.125,153.373,161.095,105.422,150.682,98.608,141.023,92.286,152.810
2024-08-16,128.119,139.944,137.054,137.735,129.462,131.075,129.007,128.245,132.284,133.927,129.812,140.008,137.843,129.001,140.032,129.026,138.004,139.007,132.990,159.001,129.008,129.007,127.908,128.620,125.642,129.545,137.858,128.504,128.243,129.001,129.641,136.295,140.007,129.328,129.877,127.723,132.957,132.465,129.007,129.768,137.872,137.251,139.968,103.516,129.844,96.029,128.196,94.810,135.214
2024-09-16,129.011,140.765,137.871,139.447,132.989,135.427,162.805,129.011,136.023,136.000,135.368,146.004,140.595,130.845,146.017,131.735,141.739,146.016,137.711,156.024,130.690,136.807,136.266,129.019,129.000,132.048,140.806,129.022,129.026,131.560,132.853,136.448,146.021,130.561,135.096,129.019,136.394,135.334,129.247,134.605,141.577,137.000,146.017,104.529,135.714,97.153,129.019,92.361,139.690
2024-10-16,190.022,146.988,163.740,148.857,142.004,145.504,147.002,144.523,144.148,145.041,204.276,148.029,146.663,146.264,148.014,142.010,146.930,148.022,148.368,148.839,146.945,142.011,142.013,142.016,142.001,143.079,146.952,142.017,146.835,142.011,148.021,161.965,148.017,142.000,142.707,145.210,145.750,223.544,142.003,144.580,147.008,146.034,162.639,104.018,146.463,93.672,142.008,90.823,156.357
2024-07-31,823.256,851.121,880.773,825.816,824.563,838.936,825.312,824.082,828.859,861.118,825.741,974.509,869.923,824.529,910.778,855.658,859.339,1027.077,853.110,968.292,824.942,829.720,824.628,827.685,823.413,841.621,915.290,825.860,824.052,848.790,825.912,864.372,898.668,825.200,841.831,823.868,870.620,856.800,825.698,858.737,925.736,912.965,1211.963,122.796,1134.429,114.940,1116.773,113.151,986.976
