Date,Ens01,Ens02,Ens03,Ens04,Ens05,Ens06,Ens07,Ens08,Ens09,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Exc10,Pav10,Exc50,Pav50,Exc90,Pav90,Avg
2024-01-16,37.885,38.236,39.034,39.248,39.603,70.541,37.785,39.384,39.241,39.296,37.810,38.035,38.989,39.262,39.227,39.616,40.801,62.152,50.563,56.766,110.644,62.713,39.364,38.336,38.864,40.161,37.885,38.537,40.767,38.211,39.444,42.235,39.779,39.476,39.350,39.820,38.211,39.085,39.099,39.371,39.837,37.960,58.813,55.684,39.323,37.231,37.932,35.914,105.619
2024-02-16,41.011,58.021,61.354,68.859,108.731,67.741,34.351,287.641,45.784,40.936,34.105,36.049,34.928,41.936,57.120,42.032,66.368,226.729,110.833,229.167,263.081,242.939,40.977,36.650,40.927,42.001,45.479,40.421,48.071,42.027,74.801,63.706,41.880,59.241,40.714,54.627,43.553,66.113,294.800,45.132,112.281,39.389,234.400,202.069,46.927,40.455,36.422,31.398,116.000
2024-03-16,103.235,164.012,107.225,216.481,423.541,163.359,48.068,403.883,108.567,75.005,97.431,60.420,186.019,103.622,183.175,104.030,427.618,243.322,109.013,222.805,191.388,256.292,98.778,75.010,75.591,147.404,115.292,163.810,116.766,94.132,184.158,185.242,141.344,101.728,49.142,136.783,72.553,187.612,198.266,184.025,348.729,43.870,291.418,171.904,139.064,82.032,67.942,40.078,169.524
2024-04-16,211.684,172.236,244.440,511.924,261.760,246.795,172.623,307.552,188.474,156.138,178.767,209.058,311.407,231.799,330.872,214.838,355.370,401.905,242.618,379.823,245.089,303.853,244.643,154.838,180.053,332.391,256.657,555.435,247.305,205.607,243.275,292.793,380.617,255.394,130.490,172.995,114.613,225.605,400.133,376.538,333.249,134.200,388.033,151.140,244.866,95.376,155.644,60.624,256.738
2024-05-16,309.976,321.438,534.827,607.862,528.283,497.221,310.412,549.674,446.109,226.632,192.786,364.820,322.690,407.739,591.661,280.327,716.227,1046.579,440.441,611.004,545.001,528.230,623.089,207.629,278.664,489.457,448.034,763.245,242.536,446.141,616.884,525.834,483.052,438.732,162.924,238.162,101.872,224.643,535.693,494.392,597.242,308.333,619.242,144.731,447.087,104.495,218.178,50.993,427.857
2024-06-16,341.543,203.079,331.778,845.700,887.686,339.251,77.067,876.318,77.065,77.017,77.029,121.862,347.898,76.948,214.805,203.558,338.706,862.172,91.304,352.519,743.755,590.278,338.189,82.926,223.028,169.948,338.994,706.782,223.009,121.649,345.256,662.202,229.069,176.367,64.951,176.118,59.011,184.085,848.882,263.662,596.340,86.865,846.909,226.461,226.049,60.445,77.024,20.596,373.976
2024-07-16,70.725,235.987,55.175,175.300,603.998,55.172,27.992,115.630,32.645,32.336,45.415,45.861,168.316,26.144,55.150,55.054,353.680,183.731,32.435,686.247,297.035,90.816,55.162,33.101,49.587,48.934,129.123,129.152,52.207,49.805,104.072,336.170,296.460,46.585,22.651,54.416,22.118,55.042,170.997,54.664,317.897,33.002,324.841,180.754,55.156,30.691,30.685,17.074,179.714
2024-07-31,1042.092,1054.189,1055.970,1993.606,2305.017,1057.827,557.380,1496.709,568.157,515.158,545.651,702.065,1253.566,566.838,1078.971,784.647,1987.062,2401.816,669.344,2297.624,1813.767,1253.615,1198.246,518.576,744.806,883.239,1252.010,1984.233,785.484,762.359,1253.646,1868.176,1433.298,815.166,376.291,568.763,247.670,763.233,1851.196,1127.875,1878.142,557.167,1989.549,160.670,1055.080,85.205,535.362,43.234,1238.286
