Date,Ens01,Ens02,Ens03,Ens04,Ens05,Ens06,Ens07,Ens08,Ens09,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Exc10,Pav10,Exc50,Pav50,Exc90,Pav90,Avg
2024-01-16,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,41.421,5.000,41.421,5.000,41.421,12.071
2024-02-16,6.001,9.255,6.005,8.002,6.000,6.001,6.026,18.814,6.001,6.000,6.000,6.024,6.000,6.000,6.011,6.023,6.176,8.003,6.006,6.537,6.002,6.005,6.011,6.000,6.007,6.001,6.000,6.001,6.002,6.018,6.002,6.003,6.000,6.000,6.000,9.673,13.986,7.006,19.481,6.001,6.789,6.001,9.414,70.606,6.004,45.029,6.000,45.002,13.333
2024-03-16,12.037,18.000,9.308,14.000,12.018,9.013,7.671,41.993,9.004,10.014,23.000,9.029,10.001,10.014,17.674,10.001,33.249,18.992,10.011,18.925,12.038,9.901,9.063,9.011,9.005,16.234,10.013,18.599,15.914,9.921,11.107,10.003,14.001,9.000,9.037,27.257,18.754,32.005,33.002,14.001,23.620,10.009,29.061,137.763,11.563,54.812,9.009,42.705,21.095
2024-04-16,29.009,16.683,24.000,42.071,12.352,14.366,33.003,74.829,35.628,9.047,43.000,39.033,35.783,36.278,37.169,35.822,41.743,39.431,10.750,31.002,21.207,48.010,33.919,23.584,16.443,41.634,26.001,35.809,35.001,35.000,35.397,14.415,40.704,16.606,13.788,37.290,14.873,35.002,61.034,54.136,61.030,26.000,50.338,132.138,35.001,91.879,14.146,37.134,38.095
2024-05-16,59.331,59.772,59.803,104.323,61.122,40.682,50.505,62.259,34.075,19.394,50.866,33.171,51.650,30.553,53.791,39.567,62.279,102.699,21.137,90.367,88.363,53.667,59.463,34.111,40.489,22.671,59.171,112.000,34.059,33.050,60.070,40.233,72.773,40.701,21.855,39.705,22.175,34.971,103.014,59.887,103.080,34.470,102.819,147.386,51.258,73.475,22.482,32.227,69.762
2024-06-16,52.176,60.078,31.685,52.205,154.441,26.624,18.076,32.725,18.084,6.872,30.227,18.048,54.392,8.125,29.723,31.637,100.630,57.857,6.892,100.693,52.010,30.843,26.297,18.029,45.452,7.728,49.884,37.432,13.003,13.003,30.990,58.052,72.488,18.055,7.786,18.038,18.071,18.004,52.855,28.181,57.289,18.085,64.794,114.873,30.535,54.135,7.996,14.176,56.405
2024-07-16,11.702,30.911,9.244,13.627,34.003,10.327,5.477,9.001,6.000,5.000,10.743,8.000,21.189,5.002,11.000,9.001,51.755,24.436,5.986,49.083,13.005,9.454,6.000,5.196,10.529,4.898,13.005,10.857,5.001,5.711,10.794,14.750,44.228,5.741,5.003,6.001,9.039,6.000,12.318,9.001,24.341,6.003,32.086,136.397,9.349,39.743,5.002,21.266,23.524
2024-07-31,150.728,170.199,114.843,195.217,257.977,93.113,96.056,190.039,94.056,39.337,122.252,93.172,151.639,81.595,123.627,97.403,258.577,201.734,44.258,256.332,167.637,129.940,119.525,72.759,96.043,76.002,129.225,183.178,89.294,83.614,129.429,118.603,207.739,86.401,49.810,96.057,64.325,94.815,212.586,164.336,251.790,83.912,227.484,121.140,119.064,63.404,69.554,37.039,187.786
