Date,Ens01,Ens02,Ens03,Ens04,Ens05,Ens06,Ens07,Ens08,Ens09,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Exc10,Exc50,Exc90,Pav10,Pav50,Pav90,Avg
2024-01-16,24.745,67.755,23.029,23.898,28.547,27.949,26.899,25.410,20.528,25.023,21.126,22.051,21.142,21.330,29.754,21.730,30.251,27.861,29.573,28.227,27.709,29.006,20.309,25.428,25.812,25.971,38.481,27.409,30.986,23.940,30.424,25.503,32.448,25.153,23.245,31.739,25.551,26.942,42.884,30.235,23.386,27.043,31.664,26.435,21.370,78.486,65.525,52.971,40.343
2024-02-16,29.414,99.580,30.119,37.663,61.646,21.234,26.865,64.076,27.389,19.020,24.469,26.340,17.188,28.761,37.459,25.479,63.105,70.219,43.665,53.424,43.919,55.443,27.155,27.056,24.200,24.454,61.316,27.440,57.852,39.517,28.158,53.851,42.940,39.169,31.206,30.477,34.203,56.495,150.942,30.125,36.667,27.751,62.959,32.704,24.455,134.978,70.115,52.430,46.644
2024-03-16,68.151,91.134,49.475,43.332,168.768,37.078,34.398,141.563,46.335,36.478,58.899,49.914,46.837,65.095,107.360,66.039,79.402,106.269,59.529,111.990,53.265,102.337,76.735,30.151,42.516,68.867,86.185,44.315,102.091,71.414,48.643,76.758,66.705,48.959,51.640,48.587,35.034,75.051,125.691,54.321,113.493,26.581,111.527,62.312,36.538,160.715,89.794,52.653,69.394
2024-04-16,101.915,135.267,83.149,95.888,115.571,42.820,78.103,139.147,74.926,37.180,71.848,82.762,89.646,107.486,124.022,76.285,102.361,164.238,77.040,129.677,69.541,136.715,95.059,43.297,53.617,73.801,108.459,105.269,102.972,85.350,66.215,99.936,131.801,75.822,75.530,61.402,43.183,89.007,178.689,102.333,147.367,65.282,136.570,89.326,54.395,136.592,89.340,54.404,99.984
2024-05-16,147.044,227.230,112.201,164.292,253.595,61.501,78.921,165.180,82.754,61.753,69.369,83.679,99.858,107.248,175.328,80.563,161.135,239.372,100.570,234.144,104.255,160.871,158.078,53.179,76.655,77.487,207.547,138.581,106.871,96.391,90.735,129.838,152.201,114.505,69.322,75.645,41.000,84.158,167.775,91.559,118.392,88.832,204.325,105.563,69.326,133.910,69.184,45.435,152.584
2024-06-16,112.303,243.644,94.226,117.712,298.357,41.559,51.767,130.268,49.116,30.356,61.848,78.838,103.485,61.593,115.412,99.185,161.495,145.761,52.441,350.054,89.008,86.950,94.845,48.299,81.371,45.025,184.627,82.304,94.386,69.007,45.264,146.026,123.432,79.152,34.363,61.844,27.283,64.121,127.156,73.345,142.789,62.530,159.948,84.627,45.049,121.264,64.160,34.154,131.900
2024-07-16,53.347,138.229,34.530,50.171,122.878,22.274,22.752,43.564,28.179,26.066,23.870,38.890,42.292,26.345,75.598,31.323,123.989,54.306,23.646,199.654,41.634,35.263,35.684,17.715,31.895,15.727,62.219,52.168,27.117,24.883,25.484,50.105,59.969,19.091,18.695,32.321,16.460,30.853,55.389,38.167,68.303,23.520,74.868,34.896,19.409,106.628,49.699,27.642,70.215
2024-07-31,414.609,744.371,324.107,428.063,790.402,168.154,231.544,478.159,234.975,155.356,226.934,284.169,335.281,302.672,490.360,287.356,548.979,603.677,253.697,913.530,304.438,419.798,383.665,162.490,243.537,212.040,562.853,378.322,331.346,275.631,227.699,425.905,467.403,288.569,197.909,231.212,127.927,268.138,529.009,305.403,476.851,240.164,561.465,304.921,199.322,123.485,67.062,43.838,454.684
