Date,Ens01,Ens02,Ens03,Ens04,Ens05,Ens06,Ens07,Ens08,Ens09,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Exc10,Exc50,Exc90,Pav10,Pav50,Pav90,Avg
2024-01-16,5.192,14.808,4.420,7.390,6.822,7.293,6.768,8.428,8.068,7.094,6.626,7.647,5.718,7.513,6.483,6.443,5.455,7.671,7.597,7.771,5.732,7.828,6.301,6.286,7.682,6.354,8.485,7.614,7.715,6.108,7.072,7.598,11.393,8.162,7.739,7.259,6.566,7.736,7.586,7.073,5.947,6.218,8.152,7.276,5.753,44.153,39.408,31.161,18.463
2024-02-16,9.419,44.521,7.405,9.655,13.104,7.324,10.063,11.214,7.792,7.081,7.754,8.545,5.514,8.852,9.028,6.699,8.862,10.871,9.834,16.726,8.834,7.802,6.216,5.493,6.196,4.757,8.083,6.687,10.321,10.726,4.325,9.865,9.862,8.032,9.463,5.996,6.849,8.491,47.447,6.045,5.375,5.783,11.179,8.287,5.541,53.993,40.022,26.762,20.705
2024-03-16,11.515,38.081,8.190,8.651,52.445,8.976,8.584,50.881,8.984,8.297,8.584,10.933,8.038,8.835,22.147,9.433,23.983,38.924,10.830,38.917,8.316,32.469,11.018,5.450,8.621,9.177,14.153,7.546,11.397,13.798,9.360,18.262,17.309,8.875,8.409,5.888,5.442,13.169,42.881,7.259,36.163,4.202,38.833,9.396,7.288,146.349,35.411,27.466,26.535
2024-04-16,21.641,31.040,8.855,34.229,49.266,8.673,10.163,37.035,20.829,5.630,5.305,10.322,19.065,13.220,28.794,7.750,29.584,50.008,11.629,63.288,9.751,39.354,11.593,6.140,7.526,5.805,20.912,30.189,16.564,17.780,8.230,22.860,39.013,15.507,8.409,5.937,3.876,20.122,38.473,20.258,33.470,6.438,38.959,17.172,5.958,163.566,72.095,25.013,23.818
2024-05-16,28.263,29.027,7.817,34.583,64.021,3.611,8.040,24.288,13.121,5.438,4.354,9.690,16.249,9.981,28.122,8.605,35.389,39.463,9.581,53.488,10.762,24.017,26.087,4.036,9.434,2.987,31.736,33.152,13.505,13.396,7.917,30.403,29.744,18.445,3.466,3.202,1.468,11.241,28.583,10.993,18.827,3.645,34.440,13.259,3.615,170.492,65.635,17.894,20.201
2024-06-16,15.478,20.917,3.800,13.046,46.850,1.773,3.038,12.058,4.340,1.842,1.955,5.298,6.776,4.633,12.081,4.215,27.347,17.781,7.944,63.628,6.585,9.136,6.220,1.382,6.700,1.722,17.510,11.987,4.415,4.695,4.097,22.932,21.941,5.906,1.916,1.855,1.105,3.737,10.748,3.471,16.194,1.681,21.838,6.063,1.780,186.260,51.711,15.185,11.725
2024-07-16,3.261,10.422,1.587,3.743,17.146,0.026,2.101,2.462,1.470,1.345,1.496,2.218,2.894,2.203,3.129,1.715,8.508,6.493,3.438,30.349,2.307,2.483,2.761,0.013,2.460,0.203,6.154,5.827,2.132,1.774,1.456,5.188,7.340,1.209,0.767,2.790,0.008,1.132,3.654,2.390,3.479,0.657,7.256,2.425,0.668,160.803,53.743,14.807,4.512
2024-07-31,68.642,91.405,22.059,85.601,177.284,14.083,23.342,75.843,39.759,14.256,13.110,27.528,44.983,30.037,72.125,22.285,100.829,113.745,32.592,210.754,29.405,74.989,46.661,11.571,26.120,10.717,76.312,81.156,36.616,37.646,21.699,81.383,98.038,41.067,14.558,13.784,6.457,36.232,81.459,37.112,71.970,12.422,97.374,37.379,13.177,161.601,62.033,21.869,60.256
