Date,Ens01,Ens02,Ens03,Ens04,Ens05,Ens06,Ens07,Ens08,Ens09,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Exc10,Exc50,Exc90,Pav10,Pav50,Pav90,Avg
2022-01-16,23.691,39.957,23.004,11.000,22.000,11.000,11.000,26.736,11.000,20.935,11.000,23.078,13.000,11.000,12.729,23.004,28.824,26.774,85.240,28.820,23.641,27.693,11.000,23.003,26.240,11.000,11.000,28.849,23.005,23.311,23.002,27.254,13.870,27.435,11.000,23.026,23.002,27.894,39.421,33.026,27.509,22.393,28.849,23.005,11.000,106.100,84.605,40.456,27.190
2022-02-16,21.407,41.622,30.910,40.879,21.154,15.000,11.001,122.715,20.010,20.019,18.225,14.004,21.835,20.023,14.000,15.000,38.079,54.980,39.690,33.529,30.411,34.358,12.333,20.030,33.427,20.029,20.033,33.514,30.411,14.002,20.025,30.910,20.032,26.674,19.503,49.371,88.627,40.603,149.348,33.880,33.573,20.025,49.371,26.674,14.004,163.019,88.074,46.239,30.286
2022-03-16,46.587,55.830,45.278,70.689,64.475,40.483,24.016,131.553,47.636,49.254,74.135,42.103,59.153,55.165,70.519,51.060,131.522,72.793,73.132,70.689,60.819,60.410,41.703,42.981,49.976,66.764,59.791,62.387,66.263,43.002,61.313,58.258,59.709,58.710,40.774,71.431,60.311,129.849,137.277,68.323,60.838,43.001,74.135,60.311,42.103,148.340,120.680,84.246,49.976
2022-04-16,85.057,90.632,86.114,104.103,85.417,71.457,86.056,132.667,100.000,72.372,105.938,104.676,84.451,86.229,171.946,86.086,104.224,112.149,103.078,95.624,86.062,171.097,85.590,86.019,72.142,101.158,89.065,105.636,86.888,99.130,90.374,86.458,100.936,98.357,57.203,85.641,43.579,104.267,207.959,106.994,188.018,75.240,132.667,90.632,72.372,177.002,120.920,96.557,74.952
2022-05-16,125.163,193.682,103.717,195.921,125.286,85.720,90.779,161.151,90.241,46.403,105.694,84.236,87.720,64.305,165.079,70.679,194.668,305.590,106.118,156.448,168.569,125.290,92.822,71.568,77.517,70.679,112.348,196.370,75.548,105.959,113.229,98.803,118.394,103.855,40.715,71.323,40.233,106.791,377.027,111.143,303.263,85.837,195.921,105.959,70.679,199.386,107.833,71.929,98.262
2022-06-16,85.864,173.919,46.066,176.236,206.968,35.460,34.046,174.761,40.291,19.168,57.814,41.903,46.341,19.368,89.519,24.933,204.967,160.405,46.404,185.359,142.918,69.219,37.988,24.393,42.769,36.945,69.416,103.500,39.052,46.331,57.673,80.734,102.412,46.339,14.192,39.492,20.015,46.384,180.722,46.285,165.146,34.033,176.236,46.384,24.393,290.157,76.367,40.161,60.738
2022-07-16,22.179,85.264,9.039,46.315,86.960,7.349,7.841,41.003,8.029,5.037,9.136,9.052,22.040,5.431,25.561,6.000,93.458,41.143,9.078,87.991,42.741,17.341,8.037,6.000,9.035,8.011,20.925,25.332,8.079,9.137,9.138,33.988,49.425,9.134,4.812,8.011,5.079,9.096,46.280,9.052,41.964,7.001,49.425,9.136,6.000,263.097,48.632,31.941,18.786
2022-07-31,279.316,527.013,222.180,550.378,508.173,212.711,218.458,484.909,221.043,145.992,277.029,222.106,222.173,191.107,388.218,209.276,700.803,561.703,272.656,527.825,386.003,347.042,218.106,211.457,218.528,218.599,278.104,468.509,218.668,262.195,273.646,277.431,361.823,255.527,115.161,218.072,107.215,274.524,854.444,277.066,660.993,212.346,550.378,273.646,209.276,217.766,108.273,82.804,252.738
