Date,Exc50,Pav50,Exc90,Pav90,Exc10,Pav10,Avg,Basin
2024-02-06,168.406,59.648,118.537,41.985,313.307,110.971,282.333,KWT
2024-02-06,38.126,63.274,15.742,26.125,91.952,152.603,60.256,SCC
2024-02-06,327.681,72.068,229.545,50.485,548.927,120.727,454.684,KRI
2024-02-06,192.277,76.041,89.543,35.412,338.144,133.727,252.861,TRF
2024-02-06,41.685,77.201,28.11,52.061,61.56,114.011,53.995,WFC
2024-02-06,143.288,76.308,91.471,48.713,203.852,108.561,187.776,EFC
2024-02-06,117.08,73.079,74.598,46.563,150.564,93.979,160.211,WWR
2024-02-06,37.187,59.652,20.387,32.703,84.623,135.744,62.34,EWR
2024-02-13,520.51,82.883,382.141,60.85,868.045,138.223,628.003,TNL
2024-02-13,245.396,83.069,157.407,53.284,463.409,156.868,295.413,SDT
2024-02-13,478.38,126.645,371.548,98.362,738.909,195.616,377.734,MSS
2024-02-13,809.933,82.051,714.092,72.342,1254.237,127.062,987.109,PSH
2024-02-13,1185.224,68.687,967.151,56.049,1826.801,105.868,1725.54,SIS
2024-02-13,2213.254,92.272,1584.252,66.049,3695.024,154.048,2398.615,SBB
2024-02-13,1612.959,96.847,1022.347,61.385,3022.498,181.48,1665.475,FTO
2024-02-13,767.072,78.815,463.539,47.628,1516.128,155.78,973.251,YRS
2024-02-13,897.558,73.403,477.587,39.058,1871.797,153.077,1222.78,AMF
2024-02-13,80.61,62.806,39.517,30.789,248.625,193.713,128.347,CSN
2024-02-13,367.107,78.9,221.815,47.673,569.662,122.434,465.282,MKM
2024-02-13,448.484,64.8,266.181,38.46,861.083,124.415,692.103,SNS
2024-02-13,725.327,59.632,485.894,39.947,1238.568,101.827,1216.343,TLG
2024-02-13,347.96,55.29,245.235,38.967,708.924,112.646,629.337,MRC
2024-02-13,790.963,63.872,547.381,44.202,1385.618,111.892,1238.349,SJF
2024-02-13,752.504,61.495,470.367,38.439,1300.893,106.31,1223.681,KGF
2024-02-13,157.728,55.866,105.271,37.286,293.425,103.929,282.333,KWT
2024-02-13,37.655,62.492,15.897,26.382,87.5,145.213,60.256,SCC
2024-02-13,305.503,67.19,233.812,51.423,502.309,110.474,454.684,KRI
2024-02-13,165.751,65.55,89.358,35.339,335.885,132.834,252.861,TRF
2024-02-13,42.634,78.959,29.093,53.881,58.567,108.468,53.995,WFC
2024-02-13,144.95,77.193,93.111,49.586,210.946,112.339,187.776,EFC
2024-02-13,118.97,74.259,77.467,48.353,162.421,101.38,160.211,WWR
2024-02-13,37.954,60.882,21.753,34.894,86.591,138.9,62.34,EWR
2024-02-23,537.718,85.623,391.426,62.329,860.22,136.977,628.003,TNL
2024-02-23,267.82,90.66,164.627,55.728,450.066,152.352,295.413,SDT
2024-02-23,456.679,120.9,363.948,96.35,668.773,177.049,377.734,MSS
2024-02-23,829.595,84.043,716.192,72.555,1212.499,122.833,987.109,PSH
2024-02-23,1199.974,69.542,977.414,56.644,1782.095,103.277,1725.54,SIS
2024-02-23,2202.112,91.808,1592.856,66.407,3579.725,149.241,2398.615,SBB
2024-02-23,1665.905,100.026,1108.605,66.564,2883.065,173.108,1665.475,FTO
2024-02-23,826.91,84.964,497.813,51.15,1491.666,153.266,973.251,YRS
2024-02-23,889.786,72.768,535.201,43.769,1712.15,140.021,1222.78,AMF
2024-02-23,77.291,60.22,36.497,28.436,240.984,187.759,128.347,CSN
2024-02-23,356.657,76.654,228.118,49.028,555.626,119.417,465.282,MKM
2024-02-23,455.483,65.811,293.451,42.4,832.901,120.344,692.103,SNS
2024-02-23,725.666,59.66,529.196,43.507,1225.038,100.715,1216.343,TLG
2024-02-23,362.341,57.575,256.909,40.822,687.277,109.206,629.337,MRC
2024-02-23,857.8,69.27,607.643,49.069,1425.383,115.103,1238.349,SJF
2024-02-23,781.261,63.845,530.816,43.379,1242.098,101.505,1223.681,KGF
2024-02-23,164.108,58.126,107.185,37.964,286.934,101.63,282.333,KWT
2024-02-23,37.59,62.383,21.574,35.804,106.664,177.018,60.256,SCC
2024-02-23,294.19,64.702,224.257,49.322,468.936,103.134,454.684,KRI
2024-02-23,177.773,70.304,89.787,35.509,302.548,119.65,252.861,TRF
2024-02-23,41.919,77.635,30.287,56.092,59.444,110.092,53.995,WFC
2024-02-23,137.215,73.074,94.518,50.336,202.297,107.733,187.776,EFC
2024-02-23,109.354,68.256,82.886,51.735,148.591,92.747,160.211,WWR
2024-02-23,33.055,53.024,18.271,29.309,66.221,106.226,62.34,EWR
2024-02-27,580.656,92.461,420.554,66.967,910.37,144.963,628.003,TNL
2024-02-27,273.436,92.56,186.717,63.205,465.077,157.433,295.413,SDT
2024-02-27,512.863,135.773,410.955,108.795,716.84,189.774,377.734,MSS
2024-02-27,932.084,94.426,798.683,80.911,1309.312,132.641,987.109,PSH
2024-02-27,1249.653,72.421,1035.46,60.008,1880.973,109.008,1725.54,SIS
2024-02-27,2437.243,101.61,1808.816,75.411,3753.506,156.486,2398.615,SBB
2024-02-27,2006.093,120.452,1454.797,87.35,3228.536,193.851,1665.475,FTO
2024-02-27,1055.596,108.461,668.64,68.702,1687.593,173.397,973.251,YRS
2024-02-27,1228.953,100.505,817.919,66.89,2095.388,171.363,1222.78,AMF
2024-02-27,112.238,87.449,65.855,51.31,253.588,197.579,128.347,CSN
2024-02-27,458.868,98.621,311.692,66.99,648.333,139.342,465.282,MKM
2024-02-27,610.229,88.17,434.869,62.833,995.272,143.804,692.103,SNS
2024-02-27,950.974,78.183,732.786,60.245,1464.746,120.422,1216.343,TLG
2024-02-27,513.987,81.671,358.634,56.986,818.399,130.041,629.337,MRC
2024-02-27,1085.065,87.622,838.181,67.685,1662.797,134.275,1238.349,SJF
