Date,Ens01,Ens02,Ens03,Ens04,Ens05,Ens06,Ens07,Ens08,Ens09,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Exc10,Pav10,Exc50,Pav50,Exc90,Pav90,Avg
2024-02-16,99.365,99.367,99.364,99.382,99.367,99.369,99.365,99.369,99.394,99.370,99.367,99.365,99.360,99.362,99.359,99.365,99.369,99.370,99.364,99.372,99.365,99.364,99.369,99.364,99.364,99.375,99.375,99.360,99.362,99.359,99.364,99.360,99.426,99.375,99.370,99.390,99.370,99.367,99.365,99.367,99.372,99.372,99.378,81.569,99.367,81.560,99.360,81.554,121.833
2024-03-16,167.658,146.196,199.826,287.043,292.033,233.045,172.849,363.288,295.579,136.234,297.005,163.089,251.460,236.466,283.759,185.658,498.240,186.238,136.717,263.603,134.706,153.865,172.005,191.720,229.557,151.944,277.747,236.387,163.797,136.984,134.804,179.096,419.366,291.139,176.107,185.569,250.330,443.423,278.614,427.832,179.865,231.837,384.598,241.199,214.692,134.643,136.883,85.846,159.452
2024-04-16,218.001,134.615,228.844,465.148,211.101,202.276,284.965,253.967,237.039,244.290,254.018,254.735,224.919,253.326,265.220,206.002,302.352,248.295,202.271,270.676,202.313,246.167,232.754,244.809,275.024,232.222,261.298,480.856,228.632,202.244,206.002,269.708,363.689,358.376,247.641,243.056,212.249,254.261,409.267,392.994,253.119,237.235,374.825,183.353,246.904,120.778,202.299,98.958,204.429
2024-05-16,372.118,222.269,401.838,540.684,375.109,363.517,517.045,359.662,534.510,197.663,217.320,359.267,345.536,381.208,227.267,214.325,553.805,534.363,206.864,405.765,370.239,351.046,447.456,343.373,374.034,193.246,539.340,540.031,236.375,197.488,508.990,376.162,375.895,424.346,223.524,232.659,207.242,320.097,374.194,410.308,374.453,483.574,536.346,203.897,373.076,141.828,207.099,78.730,263.048
2024-06-16,417.982,106.595,153.009,577.887,540.504,236.600,143.411,173.221,59.666,101.956,107.805,120.278,284.039,50.243,119.430,137.085,364.931,152.411,54.851,177.283,146.104,128.527,144.016,251.703,514.790,47.997,390.117,394.747,112.456,53.323,138.165,369.033,174.052,138.659,100.777,107.468,128.694,140.192,140.496,154.096,141.774,155.076,403.576,240.804,142.592,85.081,57.836,34.509,167.595
2024-07-16,27.819,63.485,21.273,135.752,136.953,23.011,19.472,20.498,15.465,19.168,23.013,23.010,135.882,9.966,23.527,23.210,239.326,24.013,12.917,136.515,24.023,20.049,16.493,24.020,27.974,9.725,71.980,26.955,15.428,17.935,19.631,76.435,172.881,22.762,17.087,19.020,23.012,23.011,23.418,23.001,23.527,22.210,136.122,238.413,23.012,40.304,15.451,27.062,57.095
2024-07-31,831.646,640.283,816.320,1781.547,1218.118,669.983,832.838,816.069,667.867,568.813,650.931,672.000,852.088,641.296,669.461,642.137,1483.359,840.893,425.577,1196.063,670.346,659.188,811.791,819.717,1000.126,417.218,1311.757,1507.455,616.023,418.430,807.327,1037.922,1260.733,836.832,615.949,634.353,631.775,713.906,942.589,956.699,819.037,822.378,1280.122,184.944,813.930,117.592,598.037,86.401,692.167
