Date,Ens01,Ens02,Ens03,Ens04,Ens05,Ens06,Ens07,Ens08,Ens09,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Exc10,Pav10,Exc50,Pav50,Exc90,Pav90,Avg
2024-02-16,45.009,45.002,45.002,45.006,45.001,45.002,45.007,45.006,45.002,45.004,45.009,45.006,45.011,45.010,45.009,45.009,45.002,45.130,45.009,45.028,45.010,45.005,45.002,45.011,45.002,45.001,45.259,45.006,45.009,45.012,45.013,45.010,46.296,45.007,45.053,45.002,45.005,45.005,45.002,45.006,45.028,45.028,45.037,60.164,45.007,60.124,45.002,60.117,74.857
2024-03-16,154.539,109.846,129.341,168.672,171.932,156.612,98.337,218.490,175.197,99.639,179.126,120.525,154.254,143.554,163.464,130.542,277.053,150.633,96.475,157.928,96.784,103.301,109.691,154.990,131.888,92.288,172.668,158.233,99.854,92.900,91.180,130.927,245.822,184.227,132.959,107.743,148.063,267.650,172.846,249.306,149.019,155.943,228.876,225.652,149.826,147.716,96.666,95.305,101.429
2024-04-16,149.738,118.010,140.647,330.688,148.475,118.020,213.966,169.357,169.301,172.159,167.803,225.153,151.418,175.913,181.249,137.063,223.230,149.868,141.335,161.318,137.602,140.480,137.014,141.668,192.973,149.198,171.034,304.800,137.758,129.271,128.653,159.039,224.928,199.889,150.128,142.582,137.956,182.308,235.441,232.015,159.060,160.300,227.760,169.069,159.050,118.064,134.072,99.523,134.714
2024-05-16,222.294,145.345,275.620,400.931,222.160,222.641,323.636,257.936,258.995,132.076,227.466,214.663,168.267,213.005,248.622,175.641,379.404,323.004,132.042,227.970,254.333,249.203,276.988,239.314,239.738,125.742,324.936,393.594,176.856,145.386,291.618,174.460,222.926,323.927,213.409,213.332,176.460,259.907,294.703,360.336,275.686,311.584,338.388,185.685,239.526,131.436,145.371,79.770,182.238
2024-06-16,199.514,95.073,85.766,338.349,346.568,95.399,75.755,73.991,54.453,54.286,80.797,71.155,313.341,33.612,75.226,87.421,334.759,93.817,33.182,328.556,91.337,71.034,77.559,94.039,320.845,26.539,297.517,191.554,65.891,33.774,75.623,313.761,284.190,86.260,37.072,70.080,72.394,79.970,90.865,85.785,86.861,87.561,323.775,280.962,86.022,74.647,35.819,31.083,115.238
2024-07-16,22.369,25.592,14.010,66.991,67.547,17.126,13.209,11.458,7.284,8.001,13.807,13.798,66.686,4.851,14.453,14.197,172.719,18.725,5.000,68.666,15.519,10.656,11.422,15.571,25.191,4.000,59.530,21.658,8.001,5.001,13.326,66.255,93.473,14.504,5.952,10.018,11.386,13.226,15.018,13.951,16.272,14.606,67.202,202.912,14.325,43.253,5.591,16.880,33.119
2024-07-31,573.375,450.083,500.184,1080.774,844.611,472.773,573.188,482.577,454.611,368.379,472.796,488.475,579.066,412.495,479.456,443.640,1045.206,575.804,306.718,846.009,484.231,446.906,464.803,503.440,772.403,298.412,853.958,903.148,385.951,307.698,470.071,580.940,857.084,577.534,402.135,424.671,414.696,506.535,721.615,725.400,556.308,568.085,855.146,183.780,494.330,106.237,379.274,81.510,465.310
