Date,Ens01,Ens02,Ens03,Ens04,Ens05,Ens06,Ens07,Ens08,Ens09,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Exc10,Exc50,Exc90,Pav10,Pav50,Pav90,Avg
2022-04-16,63.378,65.245,63.265,211.186,66.016,71.817,95.595,74.207,87.366,96.237,91.124,89.687,76.052,91.704,92.445,76.561,96.556,89.078,63.303,74.373,71.736,91.249,83.549,92.507,132.692,86.128,73.501,238.062,88.552,69.038,73.377,94.323,85.495,87.557,86.106,78.703,61.174,96.257,173.840,131.262,95.072,87.833,131.262,87.557,65.245,64.209,42.830,31.916,204.429
2022-05-16,101.057,103.084,163.799,235.526,165.247,143.745,100.740,109.074,164.827,136.111,154.337,150.469,85.686,137.950,135.526,145.982,412.447,249.863,147.635,213.586,175.719,173.141,258.556,98.082,297.240,105.837,210.138,375.480,143.884,97.260,208.709,212.201,130.093,212.656,159.632,161.041,140.903,140.420,215.865,175.160,175.929,211.744,249.863,161.041,101.057,94.988,61.221,38.418,263.048
2022-06-16,94.090,43.969,40.758,55.006,142.589,51.293,27.474,44.182,27.710,48.385,32.446,43.070,47.536,17.336,41.522,51.695,129.596,51.603,34.048,109.966,89.255,47.730,51.038,41.767,174.719,28.903,96.490,56.786,41.001,30.047,50.415,128.795,51.762,40.441,32.199,34.848,54.851,34.955,51.389,33.191,48.142,48.057,109.966,48.057,30.047,65.614,28.675,17.928,167.595
2022-07-16,11.002,19.444,9.311,15.341,19.896,9.623,3.304,9.048,4.115,11.002,9.349,11.234,17.087,2.944,10.001,11.448,23.184,15.106,9.008,22.706,14.250,11.002,9.506,10.001,19.986,5.392,17.204,15.134,8.845,8.371,9.934,20.705,19.935,9.285,8.519,9.163,14.757,9.263,12.478,8.858,11.573,10.435,19.935,11.002,8.371,34.916,19.269,14.661,57.095
2022-08-16,3.199,6.004,2.797,6.000,6.553,3.000,0.006,2.363,0.120,3.001,2.719,3.944,5.439,0.009,3.001,3.223,9.025,6.001,2.298,8.204,4.000,3.001,3.001,3.001,6.971,0.080,6.000,6.001,2.193,0.746,3.001,6.893,6.565,3.001,2.000,2.500,5.399,2.276,4.001,2.193,3.828,3.000,6.565,3.001,0.746,47.055,21.511,5.347,13.952
2022-09-16,2.000,3.000,0.001,4.000,4.574,2.000,0.000,0.000,0.000,1.519,0.000,2.000,2.000,0.000,1.745,2.000,6.005,4.000,0.000,5.000,3.000,2.000,2.000,0.000,4.906,0.000,4.000,4.000,0.000,0.000,2.000,4.000,4.001,2.000,0.000,0.000,2.838,0.000,3.000,0.006,2.000,2.000,4.001,2.000,0.000,46.160,23.081,0.001,8.667
2022-07-31,285.004,284.738,284.034,543.114,406.392,284.889,229.355,235.646,233.407,285.027,242.019,285.007,235.522,229.811,284.609,285.019,637.785,391.268,234.245,412.844,307.470,293.122,381.285,246.175,627.544,230.122,389.622,640.175,284.234,228.283,303.480,421.554,298.807,297.598,235.267,249.299,287.374,284.079,406.805,291.507,298.683,309.068,421.554,285.027,233.407,60.903,41.179,33.721,692.167
