Date,Qsim,FNF,QsimBC
2023-10-16,89.422,245.807,326.109
2023-11-16,72.505,288.950,278.679
2023-12-16,163.338,490.938,393.426
2024-01-16,1373.402,1252.530,1237.141
2024-02-16,2250.138,2001.170,2258.200
2024-03-16,1437.469,1577.380,1242.709
2024-04-16,1061.971,912.519,1020.849
