Date,Qsim,FNF,QsimBC
2023-10-16,14.507,30.832,36.007
2023-11-16,11.040,43.637,46.098
2023-12-16,22.981,62.812,54.979
2024-01-16,127.243,177.991,99.767
2024-02-16,316.424,297.220,291.786
2024-03-16,251.468,323.751,183.991
2024-04-16,265.159,373.193,243.728
