Date,Qsim,FNF,QsimBC
2023-10-16,12.470,13.547,17.959
2023-11-16,9.741,15.670,20.023
2023-12-16,13.391,55.603,27.948
2024-01-16,158.011,178.513,160.828
2024-02-16,313.772,280.897,285.333
2024-03-16,171.619,144.784,146.133
2024-04-16,136.708,125.581,123.848
