Date,Qsim,FNF,QsimBC
2023-10-16,20.869,9.574,20.736
2023-11-16,13.956,9.452,12.940
2023-12-16,11.649,9.512,15.064
2024-01-16,10.683,14.069,16.284
2024-02-16,15.002,33.248,17.141
2024-03-16,24.353,45.183,29.114
2024-04-16,39.163,78.158,39.824
