Date,Qsim,FNF,QsimBC
2023-10-16,38.037,38.172,53.366
2023-11-16,23.560,34.507,38.399
2023-12-16,18.047,35.370,27.169
2024-01-16,18.257,53.170,23.852
2024-02-16,104.243,128.779,79.791
2024-03-16,118.632,165.676,95.719
2024-04-16,181.617,343.655,203.656
