Date,Qsim,FNF,QsimBC
2023-10-16,32.077,100.420,104.430
2023-11-16,24.339,135.570,104.333
2023-12-16,62.837,228.616,124.030
2024-01-16,408.671,496.535,351.036
2024-02-16,655.418,782.064,524.137
2024-03-16,569.983,870.842,440.891
2024-04-16,643.109,880.482,608.959
