Date,Qsim,FNF,QsimBC
2023-10-16,71.562,36.571,56.909
2023-11-16,46.517,36.099,61.500
2023-12-16,36.247,35.811,35.029
2024-01-16,31.323,33.966,28.919
2024-02-16,61.973,51.391,35.444
2024-03-16,118.092,71.371,62.899
2024-04-16,176.737,121.661,91.095
