Date,Ens01,Ens02,Ens03,Ens04,Ens05,Ens06,Ens07,Ens08,Ens09,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Exc10,Pav10,Exc50,Pav50,Exc90,Pav90,Avg
2024-04-16,33.672,33.672,33.672,33.672,33.672,33.672,33.672,33.672,33.672,33.672,33.672,33.672,33.672,33.672,33.672,33.672,33.672,33.672,33.672,33.672,33.672,33.672,33.672,33.672,33.672,33.672,33.672,33.672,33.672,33.672,33.672,33.672,33.672,33.672,33.672,33.672,33.672,33.672,33.672,33.672,33.672,33.672,33.672,140.909,33.672,140.909,33.672,140.909,23.896
2024-05-16,40.485,37.047,38.587,39.312,38.868,40.884,39.751,40.109,39.773,40.423,38.728,39.595,36.896,41.318,40.258,38.130,34.994,42.377,42.268,34.188,40.710,40.863,42.724,38.927,41.283,39.676,42.438,42.310,41.039,40.462,42.472,38.794,36.084,40.502,40.708,39.820,38.039,40.250,39.639,40.522,42.889,39.698,42.400,210.421,40.180,199.399,36.989,183.568,20.150
2024-06-16,16.751,25.100,23.210,16.738,17.695,16.669,16.778,16.773,16.720,17.931,22.746,26.205,20.983,16.716,20.690,22.982,26.663,16.740,16.576,29.079,16.778,20.953,12.159,25.418,16.745,16.772,16.771,16.764,16.710,16.715,16.701,21.546,26.634,16.689,16.258,16.756,25.607,16.779,16.772,16.774,37.553,24.261,26.368,223.300,16.776,142.071,16.681,141.267,11.808
2024-07-16,4.565,6.723,5.234,6.362,5.700,4.380,4.394,4.494,5.120,6.366,5.726,6.508,5.756,4.848,6.436,4.909,9.759,4.763,4.816,10.134,4.836,5.527,4.277,5.531,4.347,4.576,4.819,4.601,4.290,4.796,5.016,5.326,9.573,4.315,4.198,4.242,5.901,4.307,4.354,4.323,9.839,5.731,7.806,172.546,4.879,107.840,4.300,95.053,4.524
2024-08-16,2.070,3.100,2.274,2.795,2.670,2.170,2.037,2.194,2.445,2.585,2.460,3.197,2.474,2.458,3.037,2.155,3.660,2.153,2.454,4.148,2.447,2.345,1.975,2.248,1.981,1.985,2.103,2.236,1.969,2.158,2.176,2.257,3.670,1.945,1.949,1.965,2.999,1.943,1.978,1.946,3.959,2.321,3.373,178.443,2.253,119.175,1.959,103.639,1.890
2024-09-16,0.882,1.568,0.926,2.886,1.480,0.878,1.211,0.891,1.123,1.293,1.353,2.162,1.211,1.123,1.533,0.828,2.800,0.828,1.199,2.944,0.939,1.123,0.742,0.899,0.755,0.759,0.853,0.878,0.751,0.816,0.836,0.899,2.772,0.740,0.744,0.743,1.333,0.741,0.777,0.740,2.929,0.899,2.783,235.468,0.899,76.093,0.743,62.843,1.182
2024-10-16,1.699,1.943,1.790,8.247,2.088,1.750,1.752,1.898,1.752,1.818,1.947,2.084,1.998,2.143,1.939,1.998,2.234,1.639,1.846,2.794,1.682,2.049,1.576,1.699,1.591,1.927,1.699,1.656,1.625,1.620,7.601,1.858,3.852,1.574,1.603,1.576,1.846,1.620,1.616,2.092,2.699,1.664,2.735,156.084,1.832,104.522,1.598,91.204,1.752
2024-07-31,66.680,72.238,71.131,67.787,67.445,66.007,66.732,66.667,69.111,72.333,71.431,73.380,66.918,67.803,73.024,69.329,73.345,70.121,68.761,73.576,68.479,73.059,66.540,73.029,67.821,67.067,71.214,70.522,66.621,70.401,69.809,70.478,73.395,65.373,65.041,65.141,72.923,67.187,66.744,67.302,75.819,73.089,107.030,177.264,102.892,170.410,100.010,165.637,60.379
