Date,Ens01,Ens02,Ens03,Ens04,Ens05,Ens06,Ens07,Ens08,Ens09,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Exc10,Pav10,Exc50,Pav50,Exc90,Pav90,Avg
2024-04-16,1343.273,1344.582,1345.054,1343.487,1345.797,1343.251,1344.136,1343.097,1345.015,1344.062,1343.064,1344.370,1343.632,1344.701,1344.129,1343.597,1353.424,1343.949,1343.800,1344.125,1342.746,1343.133,1343.555,1342.974,1349.603,1344.114,1344.360,1345.137,1344.628,1344.204,1343.268,1342.684,1343.131,1344.452,1345.068,1343.489,1344.529,1344.044,1343.551,1344.721,1344.109,1345.019,1345.094,143.798,1344.112,143.693,1343.085,143.583,935.405
2024-05-16,860.764,832.600,837.273,826.685,862.750,837.258,829.773,850.256,852.448,841.150,831.877,890.158,822.449,834.852,840.072,850.324,1350.936,1252.263,832.968,1047.014,827.138,833.344,834.606,831.099,923.697,832.380,1628.842,834.738,836.073,830.835,1484.308,823.525,832.712,832.447,836.970,833.823,831.930,838.960,833.558,839.920,861.290,883.834,1125.009,157.417,836.522,117.051,828.772,115.966,714.667
2024-06-16,489.982,482.433,491.694,440.805,537.491,486.306,440.905,530.718,478.320,585.783,480.505,917.532,484.753,440.631,671.735,488.438,609.349,708.161,480.656,975.417,466.366,482.166,440.625,486.100,581.300,440.973,809.029,444.919,446.873,440.884,596.456,537.253,590.195,443.812,445.196,440.787,478.414,482.985,440.805,482.855,603.335,542.143,685.577,154.169,483.869,108.810,440.805,99.126,444.690
2024-07-16,316.346,320.255,318.036,308.902,335.949,317.683,308.046,319.568,308.689,371.236,308.954,416.646,319.205,307.376,380.139,316.817,381.653,376.554,308.848,495.295,308.572,308.947,305.838,314.858,339.715,308.328,402.185,307.947,307.626,307.978,353.221,354.689,373.920,308.337,308.154,307.275,308.623,314.179,307.312,312.448,364.822,352.008,380.714,125.245,315.602,103.825,307.531,101.169,303.976
2024-08-16,271.425,283.091,274.940,268.393,283.234,272.833,261.556,275.899,267.362,297.127,268.736,319.387,278.132,260.965,312.889,272.140,314.814,304.809,270.767,331.103,264.835,269.041,260.008,270.818,282.754,261.938,319.734,261.530,260.538,261.640,284.035,287.975,303.985,263.287,263.332,260.012,265.548,271.039,260.055,270.058,293.396,283.939,313.621,120.084,271.232,103.854,260.803,99.861,261.167
2024-09-16,274.353,287.125,276.130,270.710,288.182,275.761,279.302,276.005,268.402,297.798,270.056,317.574,278.846,264.406,309.905,275.138,312.335,303.838,275.128,350.162,265.467,272.720,252.820,270.698,280.335,264.762,321.207,264.284,256.692,264.439,294.494,297.113,304.473,265.203,265.546,251.013,265.693,273.710,251.006,268.787,297.018,291.711,310.829,115.744,275.133,102.452,261.399,97.338,268.548
2024-07-31,3378.205,3357.488,3365.343,3328.541,3425.891,3360.430,3328.224,3384.277,3358.407,3431.773,3342.518,3589.390,3345.557,3331.754,3490.023,3370.718,3579.376,3572.685,3344.146,3965.416,3330.865,3346.243,3328.047,3349.067,3492.080,3334.338,3957.199,3337.797,3337.508,3329.419,3569.946,3379.787,3421.062,3335.287,3340.584,3330.014,3340.291,3354.928,3329.906,3355.310,3461.069,3457.499,3575.227,149.046,3356.399,139.924,3329.721,138.811,2398.738
