Date,Ens01,Ens02,Ens03,Ens04,Ens05,Ens06,Ens07,Ens08,Ens09,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Exc10,Pav10,Exc50,Pav50,Exc90,Pav90,Avg
2024-03-16,62.300,60.519,62.038,61.174,59.684,61.162,60.808,60.311,61.573,60.600,60.665,61.738,61.495,61.435,61.009,60.882,61.649,60.455,60.778,61.385,61.249,60.629,60.820,60.646,60.633,60.869,60.914,61.195,64.556,61.223,60.973,61.837,61.228,63.041,62.406,61.116,60.920,60.522,60.201,61.357,62.385,62.385,62.385,67.774,61.139,66.421,60.495,65.721,92.048
2024-04-16,101.697,120.691,72.995,162.992,72.232,103.333,95.252,73.253,124.110,120.146,100.225,120.970,71.649,120.793,120.296,119.441,161.697,124.720,121.279,143.753,142.562,119.035,119.739,120.508,124.067,119.721,119.473,234.080,120.854,70.320,110.526,124.375,120.499,124.733,120.717,121.186,120.512,119.480,163.036,168.508,123.084,124.503,162.189,246.453,120.601,183.258,73.155,111.162,65.810
2024-05-16,89.772,85.582,68.078,104.236,126.863,94.071,52.327,68.955,72.157,86.171,63.004,70.614,70.193,48.845,77.659,88.972,177.044,109.952,69.992,143.812,105.458,87.513,103.009,80.051,142.120,50.884,127.151,131.221,98.003,50.052,112.793,132.747,89.581,98.003,63.008,86.753,89.701,68.451,97.041,89.352,89.652,89.379,131.801,314.346,89.365,213.137,58.946,140.588,41.929
2024-06-16,23.949,33.638,14.675,34.001,51.791,23.513,10.003,14.823,14.611,23.892,14.452,38.956,36.507,10.003,24.135,31.368,79.075,50.886,14.810,97.694,34.187,30.556,23.001,23.546,54.707,10.003,52.086,48.073,23.398,10.002,23.459,71.035,55.092,23.575,14.144,19.001,30.018,14.834,23.798,23.035,55.586,23.650,55.280,343.964,23.845,148.367,12.571,78.216,16.071
2024-07-16,5.706,6.000,4.001,6.480,9.320,5.655,3.001,4.001,4.001,6.000,4.001,8.003,6.000,3.000,8.000,6.000,24.699,13.590,5.195,27.771,6.496,8.000,5.506,5.675,11.703,3.001,14.476,10.288,5.723,3.001,6.000,16.895,16.389,6.000,4.000,5.322,6.000,5.027,6.000,5.966,16.137,6.000,16.232,356.943,6.000,131.940,3.621,79.614,4.548
2024-08-16,2.472,2.876,2.000,3.001,4.000,2.440,1.000,2.000,2.000,2.780,2.000,3.667,2.638,2.101,3.001,3.000,7.224,4.316,2.126,7.776,3.001,3.001,2.360,2.411,4.113,1.000,4.401,4.028,2.530,1.000,2.933,4.972,4.791,3.000,2.000,2.195,2.939,2.000,3.000,2.838,4.552,2.908,4.643,243.750,2.892,151.809,2.000,105.001,1.905
2024-07-31,224.326,241.914,153.824,321.739,283.878,225.784,152.114,154.802,251.796,227.759,153.928,273.630,166.965,164.553,227.599,228.388,482.659,312.647,226.651,362.758,302.568,224.166,265.487,227.175,335.981,154.126,298.699,475.194,276.698,145.628,276.550,333.449,284.335,286.052,171.843,239.571,273.300,171.052,313.054,312.198,298.097,282.255,334.411,260.532,258.642,201.501,154.051,120.017,128.357
