Date,Ens01,Ens02,Ens03,Ens04,Ens05,Ens06,Ens07,Ens08,Ens09,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Exc10,Pav10,Exc50,Pav50,Exc90,Pav90,Avg
2024-02-16,50.223,50.196,48.205,49.043,50.279,47.750,46.218,51.091,47.165,51.464,46.953,51.679,49.425,48.989,51.286,51.516,50.556,48.880,48.582,46.506,49.535,46.296,50.140,46.192,50.862,46.270,47.803,46.166,51.420,46.349,46.322,47.324,46.480,49.071,47.350,46.244,46.584,46.244,46.375,51.356,47.964,47.964,51.380,68.637,48.084,64.235,46.244,61.776,74.857
2024-03-16,91.272,89.535,71.788,139.225,172.757,62.855,61.449,158.437,91.250,65.394,158.437,90.584,168.525,91.301,91.302,70.500,273.169,91.029,51.006,68.943,70.276,51.786,85.575,88.614,66.393,51.534,93.942,106.885,52.911,46.013,91.269,64.963,165.574,123.641,56.700,72.732,51.006,158.281,62.083,214.465,119.451,91.161,166.695,164.348,90.060,88.791,51.690,50.962,101.429
2024-04-16,118.081,85.010,118.060,277.981,140.041,85.012,127.438,142.022,137.249,137.245,149.852,146.641,137.746,138.005,142.665,108.694,210.237,122.001,106.297,137.855,109.559,109.979,110.909,109.035,150.160,110.029,138.007,272.792,118.069,92.928,107.172,122.000,199.390,158.583,122.000,118.014,104.531,146.994,192.173,223.320,140.731,146.101,203.512,151.069,137.247,101.880,105.626,78.407,134.714
2024-05-16,171.594,132.128,212.881,326.193,212.881,138.781,176.041,175.323,128.478,104.593,213.005,124.096,142.599,125.719,145.386,132.056,370.913,275.245,76.520,176.909,175.812,126.475,212.990,142.689,222.089,69.698,279.329,366.071,110.011,75.915,256.134,143.284,207.248,257.364,119.915,132.127,97.820,168.234,222.554,298.777,249.268,258.257,286.719,157.332,173.458,95.182,102.019,55.981,182.238
2024-06-16,92.004,82.976,69.655,98.738,340.581,70.005,34.001,55.123,32.649,32.774,71.965,33.990,294.390,21.252,58.903,57.551,330.598,81.911,13.747,146.429,73.082,33.918,60.871,65.223,147.526,9.850,94.798,94.003,32.974,18.083,69.041,111.303,125.830,69.317,27.374,33.793,27.374,53.970,67.817,73.400,81.705,72.134,146.846,127.428,69.179,60.031,25.048,21.736,115.238
2024-07-16,15.001,15.337,10.006,21.162,66.985,10.449,5.000,6.573,4.011,4.316,12.134,8.022,66.332,3.000,10.308,7.178,163.434,14.274,2.583,59.177,13.058,5.000,7.556,8.001,19.163,2.000,21.533,15.831,4.000,3.001,10.056,25.068,68.005,10.397,4.000,5.000,4.000,6.000,8.571,11.494,14.932,11.422,61.896,186.890,10.182,30.743,3.620,10.931,33.119
2024-07-31,442.186,307.469,374.683,872.717,741.716,287.965,327.632,377.519,285.718,275.908,445.505,308.755,561.489,285.989,366.452,285.594,975.476,456.813,197.052,555.910,371.240,282.451,337.229,299.905,561.208,191.836,567.103,857.100,270.445,188.928,389.354,456.360,579.305,456.169,274.110,286.820,236.787,372.676,453.010,569.420,456.703,456.375,641.022,137.762,373.679,80.308,257.655,55.373,465.310
