Date,Ens01,Ens02,Ens03,Ens04,Ens05,Ens06,Ens07,Ens08,Ens09,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Exc10,Pav10,Exc50,Pav50,Exc90,Pav90,Avg
2024-02-16,830.724,830.559,830.452,830.456,830.503,830.563,830.271,830.533,830.444,830.593,830.461,830.525,830.401,830.525,830.690,830.963,830.452,830.353,830.362,830.375,830.366,830.310,830.349,830.276,830.589,830.349,830.371,830.280,830.345,830.332,830.863,830.375,830.336,830.414,830.892,830.319,830.516,830.375,830.284,830.444,830.358,830.358,830.703,101.332,830.407,101.296,830.300,101.283,819.786
2024-03-16,1047.779,1043.433,998.359,1048.469,1645.081,1046.244,871.424,1334.223,1395.489,886.058,1634.237,1042.095,1427.274,1047.991,1051.573,953.898,2464.939,974.731,954.809,1040.633,980.422,963.797,1009.677,910.439,1047.066,956.696,1028.595,1046.988,875.903,868.928,1072.453,988.479,1091.540,1048.713,1040.610,1067.058,863.304,1616.374,1023.106,1084.535,1047.599,884.164,1499.132,160.691,1042.764,111.773,881.025,94.436,932.929
2024-04-16,733.275,488.200,662.159,939.609,926.278,574.595,484.319,744.465,665.211,474.850,882.038,484.231,773.535,667.295,836.841,479.781,1096.869,564.145,484.341,833.624,575.917,562.014,484.135,484.341,756.772,484.343,761.157,1072.635,473.072,452.815,574.700,662.790,898.190,1022.819,573.006,756.374,476.710,807.344,886.268,853.720,888.506,515.447,931.344,142.231,664.000,101.404,478.614,73.092,654.810
2024-05-16,621.134,392.010,487.883,751.618,806.802,424.764,362.598,495.027,458.818,390.277,622.356,380.365,497.957,495.028,613.706,359.368,1137.621,634.753,368.626,642.333,495.029,495.032,374.135,361.885,807.097,360.992,653.880,896.916,353.060,344.761,613.680,628.257,647.212,647.976,380.282,467.095,351.435,495.813,640.646,631.245,642.352,448.555,772.588,150.177,495.030,96.225,360.375,70.050,514.452
2024-06-16,346.970,265.426,272.891,391.254,451.224,271.028,232.545,272.956,261.897,271.052,345.399,385.009,352.936,263.258,389.690,232.443,476.403,432.492,233.461,641.307,271.040,265.715,233.847,232.905,391.983,231.103,451.583,417.214,230.403,225.722,346.233,387.457,440.847,354.601,233.157,261.395,230.132,271.032,346.054,347.384,398.529,341.214,444.790,137.858,307.085,95.178,231.933,71.885,322.643
2024-07-16,254.643,235.106,242.731,261.971,297.092,235.213,206.599,242.611,210.001,242.948,250.770,259.534,259.431,208.879,271.855,207.026,299.005,268.694,207.431,326.564,235.572,226.063,207.339,207.082,259.979,203.004,282.077,269.944,186.556,186.036,252.288,270.871,299.056,256.007,206.848,207.994,186.576,235.226,249.347,254.717,265.983,245.128,287.783,123.135,244.038,104.417,205.233,87.814,233.714
2024-07-31,1926.822,1398.679,1540.091,2401.079,2470.740,1400.474,1297.124,1564.005,1450.400,1396.819,2283.571,1545.817,2186.269,1516.440,2279.783,1295.569,2870.395,2211.528,1298.376,2382.132,1517.550,1399.785,1298.931,1297.435,2315.697,1295.909,2320.354,2536.975,1270.533,1233.667,1662.433,2213.596,2400.731,2382.811,1389.313,1536.124,1267.548,1807.174,2315.034,2270.700,2366.036,1404.269,2400.863,139.131,1554.911,90.107,1295.780,75.091,1725.619
