Date,Ens01,Ens02,Ens03,Ens04,Ens05,Ens06,Ens07,Ens08,Ens09,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Exc10,Pav10,Exc50,Pav50,Exc90,Pav90,Avg
2024-04-16,919.555,919.555,919.555,919.555,919.555,919.555,919.555,919.555,919.555,919.555,919.555,919.555,919.555,919.555,919.555,919.555,919.555,919.555,919.555,919.555,919.555,919.555,919.555,919.555,919.555,919.555,919.555,919.555,919.555,919.555,919.555,919.555,919.555,919.555,919.555,919.555,919.555,919.555,919.555,919.555,919.555,919.555,919.555,98.306,919.555,98.306,919.555,98.306,935.405
2024-05-16,1448.244,1510.267,1516.072,1383.635,1386.341,1421.901,1375.591,1375.629,1469.819,1520.916,1463.609,1679.939,1410.746,1478.668,1506.379,1522.637,1428.525,1862.249,1479.971,1683.202,1380.878,1496.306,1511.604,1406.729,1409.817,1449.516,1924.083,1495.550,1468.688,1459.929,1489.934,1434.756,1513.984,1427.460,1515.775,1462.764,1430.270,1520.155,1415.345,1496.159,1661.223,1676.081,1677.547,234.731,1474.244,206.284,1385.313,193.840,714.667
2024-06-16,536.660,558.054,606.661,534.646,537.810,536.241,535.750,537.325,521.579,611.587,537.665,1179.840,552.332,534.039,812.063,567.287,595.116,819.940,536.979,1083.062,535.050,566.285,524.015,537.232,537.680,536.680,812.672,536.723,510.131,534.461,536.217,614.022,696.957,527.448,536.829,534.852,574.656,568.177,535.934,536.409,773.316,618.837,812.295,182.665,537.495,120.869,531.535,119.529,444.690
2024-07-16,320.727,376.001,364.814,351.902,329.267,333.003,327.598,320.628,319.771,378.861,348.352,476.765,358.106,319.816,393.894,352.459,376.003,383.481,325.263,514.277,320.410,350.837,317.045,325.773,320.274,341.630,417.511,320.760,317.788,320.362,320.664,381.016,389.439,320.062,328.819,319.608,352.473,352.734,320.339,321.144,381.705,376.012,391.132,128.672,337.316,110.968,319.799,105.205,303.976
2024-08-16,279.763,308.227,295.373,284.015,283.012,283.263,282.653,279.101,278.208,309.402,283.698,325.993,291.687,279.340,318.570,283.948,304.962,316.586,283.647,345.030,279.437,283.768,273.520,282.363,277.744,283.400,321.443,281.126,272.419,279.824,281.404,313.004,319.337,278.711,283.386,275.689,283.883,284.029,279.159,281.755,313.003,302.415,318.861,122.091,283.523,108.560,278.032,106.458,261.167
2024-09-16,278.874,307.589,297.561,295.071,287.153,288.568,298.836,278.127,278.683,308.460,292.741,334.508,297.530,280.146,317.031,291.851,308.617,312.674,293.837,353.136,278.400,294.436,276.062,280.903,276.604,288.058,328.002,279.572,275.219,278.626,280.789,310.388,319.159,278.092,290.054,275.958,291.555,294.958,277.986,280.549,310.207,300.568,317.840,118.355,291.703,108.622,277.461,103.319,268.548
2024-10-16,330.006,332.319,339.759,330.011,311.017,311.017,329.902,310.991,309.183,331.332,370.747,375.987,328.619,311.005,375.009,311.017,333.817,369.615,329.168,395.683,310.018,318.673,308.190,309.573,306.081,311.014,375.393,309.025,306.153,308.759,313.866,375.000,375.005,308.075,311.013,307.736,311.017,375.008,308.081,309.732,339.967,330.014,375.009,119.911,316.270,101.129,308.078,98.510,312.738
2024-07-31,2038.749,2135.188,2263.912,2022.991,2033.435,2035.718,2018.983,2022.292,2023.505,2504.582,2048.637,3324.231,2051.285,2027.656,2657.228,2151.227,2103.434,3100.793,2045.811,3322.569,2010.496,2056.771,2024.648,2034.499,2031.042,2043.994,3236.576,2045.552,2012.507,2028.370,2043.497,2346.715,2630.180,2014.992,2052.752,2026.028,2051.758,2132.749,2023.647,2045.684,2659.404,2647.263,3746.687,156.194,2965.303,123.619,2940.589,122.589,2398.738
