Date,Ens01,Ens02,Ens03,Ens04,Ens05,Ens06,Ens07,Ens08,Ens09,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Exc10,Pav10,Exc50,Pav50,Exc90,Pav90,Avg
2024-03-16,28.205,25.297,28.533,28.533,25.367,28.564,28.595,25.790,25.455,28.755,25.966,25.685,26.812,28.001,28.464,28.309,25.702,26.037,27.459,28.642,25.702,26.212,25.720,25.896,28.102,26.599,28.024,26.991,28.091,28.029,27.459,25.808,28.577,25.808,26.670,26.884,25.420,28.283,28.388,26.317,28.135,28.069,28.569,55.346,27.225,52.742,25.598,49.589,51.619
2024-04-16,37.001,34.014,51.744,133.430,34.019,51.378,61.002,41.602,36.893,82.497,85.571,39.364,38.998,61.002,51.939,56.554,36.007,54.976,51.475,94.231,40.145,51.540,51.816,52.051,65.720,51.082,51.530,113.068,54.034,51.775,56.035,54.152,54.002,66.332,53.767,60.246,36.691,61.002,88.041,71.788,54.379,82.097,86.509,125.031,53.884,77.878,36.816,53.210,69.190
2024-05-16,59.290,51.613,113.951,149.615,53.004,113.281,128.071,105.576,149.906,105.536,108.864,112.957,51.224,163.115,140.462,89.855,132.158,191.488,164.277,113.381,107.149,132.522,175.462,74.334,113.335,112.695,113.560,173.508,113.536,163.206,190.945,106.195,74.384,174.469,131.027,112.768,71.093,110.513,140.779,124.430,134.618,177.451,174.847,174.514,113.548,113.332,66.608,66.481,100.190
2024-06-16,67.778,47.602,60.481,163.406,153.058,59.490,50.979,44.393,23.578,80.938,30.541,24.665,62.404,22.288,43.232,99.304,72.857,44.681,23.790,164.295,68.024,35.864,60.578,47.495,241.673,23.335,72.490,73.024,50.614,24.003,43.398,122.085,48.405,34.913,24.062,48.206,39.540,49.066,42.221,35.117,62.351,68.036,133.854,169.130,48.736,61.579,23.922,30.227,79.143
2024-07-16,14.002,28.608,10.545,25.752,21.547,10.001,10.108,8.035,8.016,21.616,9.555,9.740,18.579,6.328,10.540,20.350,59.102,10.073,7.149,92.101,20.654,9.373,10.001,10.047,20.926,6.479,14.351,18.865,10.005,8.001,10.000,22.296,22.022,8.001,8.000,10.213,10.697,10.093,10.005,8.002,20.275,12.056,23.609,69.732,10.161,30.011,8.001,23.630,33.857
2024-08-16,4.000,8.007,3.511,11.579,7.695,4.000,3.018,3.000,2.462,7.796,3.000,3.000,4.946,2.116,4.001,6.466,13.691,4.000,2.000,23.711,6.923,3.000,3.693,3.001,8.007,2.000,4.757,6.512,3.000,2.226,3.631,7.395,7.478,3.000,2.012,3.000,6.091,3.001,3.000,3.000,6.888,4.000,8.007,81.430,3.846,39.115,2.184,22.213,9.833
2024-07-31,203.453,196.204,225.478,516.761,232.224,219.433,230.095,192.020,171.878,271.305,213.597,171.136,194.103,194.677,219.513,260.797,276.578,248.692,192.784,548.147,228.832,213.815,251.920,192.972,282.444,158.142,243.566,300.919,218.944,194.446,247.452,271.225,220.197,238.696,192.232,218.225,163.047,218.236,237.763,218.670,252.037,275.508,278.807,98.734,219.855,77.858,184.366,65.290,282.381
