Date,Ens01,Ens02,Ens03,Ens04,Ens05,Ens06,Ens07,Ens08,Ens09,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Exc10,Pav10,Exc50,Pav50,Exc90,Pav90,Avg
2024-03-16,120.353,90.451,145.885,146.371,206.468,144.815,80.595,145.691,104.802,70.837,162.999,96.142,146.818,102.981,146.545,73.901,226.464,96.116,81.783,146.342,76.868,94.355,74.043,76.305,160.510,91.023,162.146,145.468,78.486,74.523,76.767,82.103,219.368,200.399,107.626,94.228,79.878,163.398,163.398,265.694,80.913,146.849,202.705,220.218,106.214,115.390,75.628,82.162,92.048
2024-04-16,65.933,65.151,69.006,226.882,123.218,55.797,69.006,64.940,56.717,53.675,69.005,62.131,105.514,59.950,74.241,40.746,136.627,73.888,38.308,121.238,68.120,41.033,58.245,56.104,150.781,39.184,120.358,320.931,42.480,39.000,57.879,119.559,140.734,147.137,64.892,70.929,39.680,65.604,65.604,151.875,71.313,124.016,148.522,225.685,67.026,101.849,40.341,61.300,65.810
2024-05-16,63.005,48.085,48.072,100.381,136.401,48.012,37.862,41.505,22.725,24.230,36.332,25.921,78.299,20.886,36.889,26.012,157.041,88.485,14.949,118.419,48.064,36.570,35.396,26.009,123.741,14.711,109.067,99.253,26.011,15.000,68.951,88.115,84.614,63.013,22.410,36.570,22.272,42.344,42.344,54.832,68.874,70.502,112.621,268.601,45.178,107.749,21.745,51.862,41.929
2024-06-16,14.494,14.370,10.003,33.642,50.955,9.242,7.002,9.001,5.410,7.887,9.003,14.340,34.551,5.104,14.249,9.000,59.210,23.447,4.000,68.240,10.002,10.001,7.001,7.252,43.023,3.764,44.137,23.787,7.001,4.001,10.003,46.202,53.643,14.603,6.001,9.000,7.002,9.001,9.001,14.212,36.831,14.902,48.008,298.717,10.002,62.235,5.293,32.937,16.071
2024-07-16,3.000,3.000,3.001,6.000,8.004,3.000,2.000,3.001,2.000,3.001,3.000,4.000,5.801,2.000,4.000,3.001,17.067,6.000,1.000,17.661,3.000,3.001,2.026,2.622,8.000,1.001,10.037,6.000,2.000,1.001,3.001,8.004,14.958,4.000,2.000,3.002,2.000,3.000,3.000,4.001,8.000,4.000,8.777,192.998,3.001,65.988,2.000,43.980,4.548
2024-08-16,1.965,1.080,1.000,3.000,3.826,1.000,1.000,1.001,1.000,1.000,1.000,2.000,2.476,1.000,2.049,1.001,5.480,2.902,1.000,5.327,1.000,1.000,1.000,1.000,3.000,0.128,4.000,3.001,1.000,0.551,1.000,3.112,4.637,2.094,1.000,1.001,1.000,1.000,1.000,2.000,3.000,2.004,3.892,204.351,1.001,52.545,1.000,52.500,1.905
2024-07-31,144.905,136.310,141.667,362.187,320.413,108.653,119.191,111.680,82.379,89.891,132.298,109.689,174.943,82.952,145.063,88.970,360.703,173.341,49.996,320.409,138.497,97.189,105.171,96.094,324.971,49.881,285.964,474.564,85.711,52.001,136.312,232.909,298.620,274.257,105.035,134.283,66.764,125.714,125.714,274.592,163.789,247.820,322.145,250.976,135.296,105.406,76.446,59.557,128.357
