Date,Ens01,Ens02,Ens03,Ens04,Ens05,Ens06,Ens07,Ens08,Ens09,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Exc10,Pav10,Exc50,Pav50,Exc90,Pav90,Avg
2024-01-16,588.560,595.503,1299.324,680.338,1324.761,602.736,594.857,892.684,986.783,623.266,680.128,597.912,591.558,613.382,710.576,1032.439,1210.279,901.001,1249.593,1045.579,800.907,969.373,974.604,615.032,970.395,634.870,965.044,636.380,597.266,1004.815,693.848,1016.519,613.183,955.098,677.689,615.057,618.057,1045.638,865.402,720.300,605.549,983.886,1108.201,97.635,715.438,63.032,596.596,52.561,1135.048
2024-02-16,1126.386,1325.770,1145.371,1040.812,2738.987,752.060,592.360,3569.563,1159.525,469.519,470.545,486.284,809.864,1339.449,1011.730,1014.061,1149.932,1740.478,919.096,3809.487,1337.342,2270.379,1019.830,751.610,751.868,1420.896,882.887,943.548,1036.855,1016.695,1248.547,1185.161,751.674,647.697,466.360,1043.480,1155.900,908.155,2540.294,482.190,1419.970,574.781,2372.946,184.696,1028.342,80.040,484.729,37.728,1284.786
2024-03-16,1338.197,1359.423,1351.280,1279.182,4616.182,732.693,473.082,2362.742,1381.896,377.955,1525.101,705.061,1389.611,1361.768,1285.661,923.630,2579.890,1525.048,705.461,2082.116,1373.234,1883.778,1241.157,702.472,882.626,1364.632,1269.963,1947.515,1004.441,924.054,1525.732,1023.085,1526.014,1227.745,391.075,1526.485,647.024,2069.801,1384.180,841.777,2221.210,419.561,2134.972,150.988,1344.739,95.102,580.926,41.084,1414.000
2024-04-16,747.045,662.134,792.127,1492.623,1703.859,570.926,455.052,854.535,668.633,261.584,1112.131,455.077,791.376,719.761,875.717,554.664,1344.937,850.322,540.457,1336.111,882.453,893.963,659.911,513.924,710.419,662.256,785.857,2567.684,572.733,553.478,710.839,817.397,1286.903,1300.846,428.390,872.387,437.430,789.758,1498.193,784.693,1794.506,471.754,1494.740,159.796,785.275,83.950,455.068,48.649,935.405
2024-05-16,808.979,494.877,616.537,843.693,1515.736,468.033,301.536,626.488,491.751,335.764,620.746,468.037,518.686,510.452,662.687,463.425,1516.783,924.940,450.093,1503.954,757.828,756.204,491.961,373.792,866.209,491.829,965.307,1262.906,463.603,412.477,830.037,810.348,855.717,813.619,275.471,507.295,291.990,508.830,845.698,496.202,1050.034,432.101,1130.926,158.245,567.611,79.423,359.341,50.281,714.667
2024-06-16,439.540,332.595,361.583,440.613,778.273,319.115,244.586,389.424,329.949,285.426,360.192,440.383,355.357,331.597,611.117,308.057,605.137,613.402,303.323,1128.582,439.838,378.765,330.250,265.911,440.851,330.719,543.689,535.651,301.218,268.412,440.011,501.463,613.311,393.310,239.149,331.945,243.074,332.735,440.509,332.147,612.377,312.479,612.732,137.788,360.887,81.155,267.462,60.146,444.690
2024-07-16,307.475,271.980,290.848,313.509,416.078,265.330,209.932,307.165,266.776,243.695,275.887,291.783,285.057,270.657,353.130,253.490,380.951,368.272,254.333,504.980,307.846,305.531,266.885,229.221,308.360,269.248,352.625,334.324,243.993,233.837,307.984,320.953,379.843,306.742,190.433,270.432,205.836,271.654,308.481,271.298,375.165,258.772,376.943,124.004,287.952,94.729,232.083,76.349,303.976
2024-07-31,2090.851,1766.812,2038.454,3375.468,4008.002,1637.351,1211.225,2095.396,1758.540,1216.414,2090.509,1722.018,1918.589,1775.639,2786.164,1569.850,3584.067,3305.298,1517.001,4140.781,2242.117,2192.629,1744.566,1428.354,2295.946,1751.092,2806.822,4152.111,1606.729,1498.657,2099.794,2626.110,3372.058,2800.821,1004.439,1889.677,1049.798,1875.164,3372.716,1875.132,3916.220,1500.268,3710.285,154.677,1978.522,82.482,1347.817,56.189,2398.738
