Date,Ens01,Ens02,Ens03,Ens04,Ens05,Ens06,Ens07,Ens08,Ens09,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Exc10,Pav10,Exc50,Pav50,Exc90,Pav90,Avg
2024-04-16,263.601,263.576,263.657,263.557,263.661,263.549,263.563,263.643,263.623,263.559,263.585,263.668,263.562,263.609,263.596,263.597,263.568,263.612,263.636,263.619,263.599,263.589,263.588,263.573,263.585,263.601,263.584,263.604,263.645,263.556,263.587,263.567,263.640,263.723,263.575,263.585,263.662,263.665,263.581,263.588,263.615,263.601,263.662,89.334,263.597,89.312,263.561,89.299,295.143
2024-05-16,358.412,339.422,539.963,376.437,427.001,375.929,520.057,461.398,568.354,327.871,366.505,520.197,322.077,583.567,545.518,367.114,546.236,566.484,541.267,380.998,348.190,539.092,540.501,353.044,359.533,544.217,538.201,558.864,520.005,494.960,554.972,337.981,342.409,545.579,539.677,357.790,421.363,443.133,521.287,534.336,538.729,544.424,556.451,126.261,520.031,117.997,341.274,77.437,440.714
2024-06-16,702.629,152.098,810.845,623.117,705.859,809.047,810.395,1017.614,806.125,506.069,517.407,508.180,154.734,1060.561,776.765,808.571,555.762,1027.139,810.991,206.916,546.173,811.054,1104.787,689.929,1107.482,808.027,811.050,811.093,1079.588,598.153,1116.675,510.154,224.125,726.390,809.571,638.217,648.687,810.728,671.864,811.075,792.832,810.438,1067.791,310.662,799.479,232.600,398.930,116.064,343.714
2024-07-16,135.798,156.632,63.108,71.803,334.644,67.061,58.447,63.912,67.039,224.148,223.710,153.851,206.975,40.185,67.012,207.303,351.788,68.262,58.880,459.360,136.568,67.566,57.006,142.293,139.254,58.724,158.643,61.374,67.063,84.046,67.054,332.149,347.246,67.051,61.565,134.332,222.676,69.348,67.056,58.515,163.140,67.057,333.097,243.645,70.575,51.623,58.644,42.895,136.714
2024-08-16,23.463,54.010,19.913,22.348,35.481,21.538,19.000,19.876,20.995,24.728,25.910,35.004,39.056,14.011,21.866,22.890,65.368,22.258,20.239,54.003,23.039,21.652,14.465,22.857,22.961,19.600,29.936,19.869,20.652,22.260,21.566,32.646,39.511,20.732,19.996,22.648,24.177,21.644,20.934,19.015,24.068,21.073,39.229,114.896,22.259,65.195,19.378,56.756,34.143
2024-09-16,13.515,21.688,10.010,12.006,20.054,10.763,10.004,10.010,10.135,15.001,15.819,18.003,20.751,7.002,11.481,12.565,25.826,11.899,10.005,21.787,12.625,10.852,8.259,12.485,12.995,10.011,18.001,10.010,10.000,11.506,10.794,18.002,20.924,10.002,10.010,12.208,14.419,10.777,10.064,10.005,14.579,10.264,20.817,128.386,11.703,72.176,10.003,61.692,16.214
2024-07-31,1414.577,1045.371,1415.273,1400.388,1461.143,1409.369,1408.371,1414.568,1418.232,1407.264,1411.742,1408.084,1189.962,1417.901,1414.011,1419.799,1500.044,1501.655,1415.450,1411.908,1382.965,1418.648,1417.562,1415.059,1501.779,1411.338,1498.793,1418.613,1419.607,1400.920,1519.196,1412.651,1395.149,1414.494,1412.159,1410.993,1419.405,1416.815,1402.917,1412.743,1420.717,1417.391,1499.268,123.266,1414.572,116.303,1398.397,114.973,1216.286
